cc-d-01.02.03.01,"Ständige Wohnbevölkerung nach Staatsangehörigkeitskategorie, Geschlecht und Gemeinde, am 31.12.2024",,,,,,,,
,Provisorische Jahresergebnisse,,,,,,,,
"Kanton, Bezirk und Gemeinde",Total,,,Schweizer,,,Ausländer 1,,
,Total,Mann,Frau,Total,Mann,Frau,Total,Mann,Frau
......0390 Meinisberg,1453,725,728,1249,614,635,204,111,93
......0392 Pieterlen,5213,2592,2621,3473,1677,1796,1740,915,825
......0731 Aegerten,2473,1201,1272,1942,927,1015,531,274,257
......0732 Bellmund,1801,905,896,1646,829,817,155,76,79
......0733 Brügg,4649,2223,2426,3350,1558,1792,1299,665,634
......0739 Ipsach,3869,1871,1998,3309,1589,1720,560,282,278
......0740 Ligerz,525,252,273,487,233,254,38,19,19
......0742 Mörigen,881,431,450,816,401,415,65,30,35
......0743 Nidau,7052,3389,3663,5181,2406,2775,1871,983,888
......0744 Orpund,3373,1636,1737,2608,1232,1376,765,404,361
......0745 Port,3900,1880,2020,3353,1604,1749,547,276,271
......0746 Safnern,2055,1041,1014,1859,926,933,196,115,81
......0747 Scheuren,535,263,272,468,227,241,67,36,31
......0748 Schwadernau,690,350,340,615,309,306,75,41,34
......0750 Sutz-Lattrigen,1398,665,733,1273,604,669,125,61,64
......0756 Twann-Tüscherz,1171,585,586,1013,504,509,158,81,77
>> Verwaltungskreis Seeland,78775,39050,39725,67076,32797,34279,11699,6253,5446
......0301 Aarberg,4620,2264,2356,3965,1909,2056,655,355,300
......0302 Bargen (BE),1096,545,551,988,494,494,108,51,57
......0303 Grossaffoltern,3070,1521,1549,2876,1410,1466,194,111,83
......0304 Kallnach,2235,1112,1123,2034,1000,1034,201,112,89
......0305 Kappelen,1409,718,691,1337,676,661,72,42,30
......0306 Lyss,16547,8199,8348,12882,6270,6612,3665,1929,1736
......0309 Radelfingen,1285,656,629,1220,619,601,65,37,28
......0310 Rapperswil (BE),2702,1347,1355,2538,1260,1278,164,87,77
......0311 Schüpfen,3785,1871,1914,3461,1694,1767,324,177,147
......0312 Seedorf (BE),3234,1585,1649,2967,1449,1518,267,136,131
......0381 Arch,1741,865,876,1589,776,813,152,89,63
......0382 Büetigen,915,479,436,846,441,405,69,38,31
......0383 Büren an der Aare,3805,1873,1932,3042,1460,1582,763,413,350
......0385 Diessbach bei Büren,1052,526,526,941,472,469,111,54,57
......0386 Dotzigen,1580,787,793,1402,698,704,178,89,89
......0388 Leuzigen,1362,673,689,1243,609,634,119,64,55
......0389 Meienried,57,30,27,50,25,25,7,5,2
......0391 Oberwil bei Büren,904,447,457,847,414,433,57,33,24
......0393 Rüti bei Büren,870,426,444,769,373,396,101,53,48
......0394 Wengi,633,322,311,599,304,295,34,18,16
......0491 Brüttelen,641,339,302,492,251,241,149,88,61
......0492 Erlach,1391,681,710,1158,556,602,233,125,108
......0493 Finsterhennen,570,306,264,413,207,206,157,99,58
......0494 Gals,849,418,431,729,354,375,120,64,56
......0495 Gampelen,1016,514,502,813,404,409,203,110,93
......0496 Ins,3775,1855,1920,3068,1469,1599,707,386,321
......0497 Lüscherz,572,281,291,514,251,263,58,30,28
......0498 Müntschemier,1651,833,818,1084,533,551,567,300,267
......0499 Siselen,633,325,308,544,279,265,89,46,43
......0500 Treiten,428,216,212,370,184,186,58,32,26
......0501 Tschugg,497,248,249,392,192,200,105,56,49
......0502 Vinelz,910,444,466,829,395,434,81,49,32
......0734 Bühl,482,231,251,459,220,239,23,11,12
......0735 Epsach,366,179,187,331,164,167,35,15,20
......0736 Hagneck,432,222,210,397,206,191,35,16,19
......0737 Hermrigen,315,161,154,298,148,150,17,13,4
......0738 Jens,660,332,328,629,319,310,31,13,18
......0741 Merzligen,404,202,202,392,196,196,12,6,6
......0749 Studen (BE),3534,1737,1797,2511,1192,1319,1023,545,478
......0751 Täuffelen,3086,1488,1598,2803,1343,1460,283,145,138
......0754 Walperswil,1045,538,507,976,499,477,69,39,30
......0755 Worben,2616,1254,1362,2278,1082,1196,338,172,166
>> Verwaltungskreis Oberaargau,85461,42571,42890,70458,34523,35935,15003,8048,6955
......0321 Aarwangen,4810,2400,2410,3874,1864,2010,936,536,400
......0322 Auswil,477,245,232,460,233,227,17,12,5
......0323 Bannwil,678,346,332,610,312,298,68,34,34
......0324 Bleienbach,779,392,387,716,361,355,63,31,32
......0325 Busswil bei Melchnau,166,82,84,161,81,80,5,1,4
......0326 Gondiswil,731,354,377,708,342,366,23,12,11
......0329 Langenthal,16141,7872,8269,11963,5717,6246,4178,2155,2023
......0331 Lotzwil,2778,1430,1348,2262,1137,1125,516,293,223
......0332 Madiswil,3327,1649,1678,3100,1527,1573,227,122,105
......0333 Melchnau,1518,753,765,1273,630,643,245,123,122
......0335 Oeschenbach,234,126,108,223,120,103,11,6,5
......0336 Reisiswil,178,88,90,165,79,86,13,9,4
......0337 Roggwil (BE),4433,2214,2219,3580,1780,1800,853,434,419
......0338 Rohrbach,1599,800,799,1449,721,728,150,79,71
......0339 Rohrbachgraben,375,191,184,344,172,172,31,19,12
......0340 Rütschelen,582,291,291,560,277,283,22,14,8
......0341 Schwarzhäusern,519,259,260,488,242,246,31,17,14
......0342 Thunstetten,3584,1817,1767,2877,1430,1447,707,387,320
......0344 Ursenbach,902,462,440,851,430,421,51,32,19
......0345 Wynau,1699,860,839,1235,604,631,464,256,208
......0953 Eriswil,1337,678,659,1281,652,629,56,26,30
......0954 Huttwil,5134,2602,2532,4336,2155,2181,798,447,351
......0959 Walterswil (BE),555,283,272,526,268,258,29,15,14
......0960 Wyssachen,1124,559,565,1061,518,543,63,41,22
......0971 Attiswil,1546,764,782,1398,685,713,148,79,69
......0972 Berken,47,26,21,46,26,20,1,.,1
......0973 Bettenhausen,692,333,359,643,306,337,49,27,22
......0975 Farnern,226,108,118,217,102,115,9,6,3
......0976 Graben,337,177,160,307,153,154,30,24,6
......0977 Heimenhausen,1219,616,603,1127,561,566,92,55,37
......0979 Herzogenbuchsee,7504,3670,3834,5910,2838,3072,1594,832,762
......0980 Inkwil,676,329,347,639,315,324,37,14,23
......0981 Niederbipp,5557,2804,2753,3953,1934,2019,1604,870,734
......0982 Niederönz,1803,872,931,1627,772,855,176,100,76
......0983 Oberbipp,1954,972,982,1583,758,825,371,214,157
......0985 Ochlenberg,536,284,252,510,267,243,26,17,9
......0987 Rumisberg,493,250,243,462,234,228,31,16,15
......0988 Seeberg,1596,805,791,1489,749,740,107,56,51
......0989 Thörigen,1193,617,576,1100,569,531,93,48,45
......0990 Walliswil bei Niederbipp,222,105,117,198,95,103,24,10,14
......0991 Walliswil bei Wangen,633,311,322,597,288,309,36,23,13
......0992 Wangen an der Aare,2918,1442,1476,2392,1160,1232,526,282,244
......0995 Wiedlisbach,2649,1333,1316,2157,1059,1098,492,274,218
>> Verwaltungskreis Emmental,100012,49671,50341,88891,43686,45205,11121,5985,5136
......0401 Aefligen,1140,565,575,1027,500,527,113,65,48
......0402 Alchenstorf,635,321,314,608,304,304,27,17,10
......0404 Burgdorf,17285,8493,8792,13656,6612,7044,3629,1881,1748
......0405 Ersigen,2030,1009,1021,1941,969,972,89,40,49
......0406 Hasle bei Burgdorf,3402,1738,1664,3065,1520,1545,337,218,119
......0407 Heimiswil,1629,817,812,1558,777,781,71,40,31
......0408 Hellsau,213,102,111,200,96,104,13,6,7
......0409 Hindelbank,2789,1419,1370,2415,1215,1200,374,204,170
......0410 Höchstetten,254,129,125,237,119,118,17,10,7
......0411 Kernenried,534,264,270,501,246,255,33,18,15
......0412 Kirchberg (BE),5923,2941,2982,4981,2437,2544,942,504,438
......0413 Koppigen,2281,1117,1164,2088,1015,1073,193,102,91
......0414 Krauchthal,2382,1196,1186,2225,1116,1109,157,80,77
......0415 Lyssach,1484,742,742,1331,659,672,153,83,70
......0418 Oberburg,2987,1515,1472,2400,1200,1200,587,315,272
......0420 Rüdtligen-Alchenflüh,2490,1235,1255,1847,913,934,643,322,321
......0421 Rumendingen,91,46,45,85,44,41,6,2,4
......0422 Rüti bei Lyssach,162,76,86,158,74,84,4,2,2
......0423 Willadingen,196,98,98,194,96,98,2,2,.
......0424 Wynigen,2097,1037,1060,2028,1001,1027,69,36,33
......0533 Bätterkinden,3374,1614,1760,3097,1473,1624,277,141,136
......0552 Utzenstorf,4469,2194,2275,4032,1961,2071,437,233,204
......0554 Wiler bei Utzenstorf,1033,516,517,929,456,473,104,60,44
......0556 Zielebach,323,154,169,291,139,152,32,15,17
......0901 Eggiwil,2451,1249,1202,2397,1218,1179,54,31,23
......0902 Langnau im Emmental,9573,4684,4889,8679,4179,4500,894,505,389
......0903 Lauperswil,2712,1350,1362,2578,1281,1297,134,69,65
......0904 Röthenbach im Emmental,1200,609,591,1166,589,577,34,20,14
......0905 Rüderswil,2390,1170,1220,2310,1125,1185,80,45,35
......0906 Schangnau,924,470,454,894,453,441,30,17,13
......0907 Signau,2698,1349,1349,2539,1262,1277,159,87,72
......0908 Trub,1276,671,605,1230,647,583,46,24,22
......0909 Trubschachen,1510,766,744,1362,686,676,148,80,68
......0951 Affoltern im Emmental,1211,613,598,1149,580,569,62,33,29
......0952 Dürrenroth,1076,542,534,1015,510,505,61,32,29
......0955 Lützelflüh,4371,2155,2216,4019,1959,2060,352,196,156
......0956 Rüegsau,3293,1609,1684,3079,1504,1575,214,105,109
......0957 Sumiswald,5208,2633,2575,4690,2302,2388,518,331,187
......0958 Trachselwald,916,463,453,890,449,441,26,14,12
>> Verwaltungskreis Bern-Mittelland,428526,208832,219694,343662,165046,178616,84864,43786,41078
